id,name
15865,Sergi Roberto
28292,Ronald Araújo
32778,Álex Collado
32781,Riqui Puig
97534,Sergiño Dest
98751,Iñaki
101345,Eric García
128040,Ansu Fati
133860,Pedri
136140,Yusuf Demir
146986,Óscar Mingueza
172761,Álex Balde
78,David Soria
126,Vitolo
1808,Jonathan Silva
2128,Jakub Jankto
3125,Dakonam Djené
3441,Nemanja Maksimović
8015,Allan Nyom
8899,Stefan Mitrović
11589,Sandro
15867,Aleñà
32381,Mata
32520,Rubén Yáñez
32750,Damián Suárez
32754,Mathías Olivera
32758,Mauro Arambarri
32924,Chema
32932,Erick Cabaco
33130,Darío Poveda
33132,Enes Ünal
33526,Timor
37560,Florentino
83351,Juan Iglesias
98750,Jorge Cuenca
150546,Diego Conde
170287,José Macías
170058,John Joe Patrick Finn
2,Juanmi
8,Willian José
16,Andrés Guardado
17,Tello
18,Joaquín
25,Canales
1772,Germán Pezzella
3250,William Carvalho
3624,Youssouf Sabaly
7783,Héctor Bellerín
7821,Joel Robles
7879,Claudio Bravo
8464,Nabil Fekir
32014,Rui Silva
32056,Borja Iglesias
32123,Alex Moreno
32491,Juan Miranda
33038,Bartra
33040,Víctor Camarasa
33045,Aitor Ruibal
33106,Víctor Ruíz
33139,Martín Montoya
39104,Guido Rodríguez
39115,Diego Lainez
58580,Édgar González
81737,Paul Akouokou
98793,Roberto González
170289,Rodri Sánchez
6,Géronimo Rulli
19,Aïssa Mandi
267,Alfonso Pedraza
2085,Albiol
3198,Dani Parejo
7860,Alberto Moreno
7996,Juan Foyth
8073,Iborra
8118,Étienne Capoue
9870,Arnaut Danjuma
11572,Francis Coquelin
15871,Paco Alcácer
32217,Moi Gómez
32642,Pervis Estupiñán
32719,Gerard Moreno
33100,Sergio Asenjo
33105,Mario Gaspar
33109,Pau Torres
33115,Trigueros
33124,Samuel Chukwueze
33131,Dani Raba
33346,Rubén Peña
98299,Boulaye Dia
152505,Yeremi Pino
3172,Maxi Gómez
3259,Gonçalo Guedes
3690,Denis Cheryshev
4096,Hélder Costa
8456,Mouctar Diakhaby
8780,Dimitri Foulquier
10193,Daniel Wass
15860,Jasper Cillessen
15881,Cristiano Piccini
32554,Manu Vallejo
32762,Hugo Duro
32949,Jason
33136,Jaume Doménech
33137,Cristian
33138,Toni Lato
33145,Gabriel Paulista
33146,Gaya
33148,Carlos Soler
46491,Omar Alderete
51139,Maranhão
67704,Uroš Račić
84506,Giorgi Mamardashvili
98672,Alejandro Blanco
98674,Hugo Guillamón
99811,Thierry Correia
146110,Koba Koindredi
150669,Yunus Musah
54,Jesús Navas
1752,Suso
1840,Alejandro Gómez
3212,Marcos Acuña
3430,Marko Dmitrović
3460,Thomas Delaney
3554,Ivan Rakitić
3694,Yassine Bounou
3877,Óscar
4098,Rafael Mir
6552,Karim Rekik
7701,Oussama Idrissi
8005,Erik Lamela
8358,Lucas Ocampos
8394,Ibrahim Amadou
8499,Jules Koundé
8698,Diego Carlos
8804,Joris Gnagnon
9445,Ludwig Augustinsson
11667,Gonzalo Montiel
15911,Óliver Torres
21410,Nemanja Gudelj
30557,Fernando
32836,Youssef En-Nesyri
33067,Javier Díaz
33243,Munir El Haddadi
33350,Jordán
822,Hassane Kamara
7448,Pablo Rosario
7561,Justin Kluivert
7570,Kasper Dolberg
7690,Calvin Stengs
7840,Morgan Schneiderlin
8097,Mario Lemina
8308,Andy Delort
8420,Walter Benítez
8425,Dante
8442,Ihsan Sacko
8476,Amine Gouiri
16276,Jordan Lotomba
79903,Jean-Clair Todibo
99251,Khéphren Thuram-Ulie
122320,Flavius Daniliuc
123508,Hicham Boudaoui
124620,Lucas Da Cunha
128710,Evann Guessand
136721,Melvin Bard
147975,Teddy Boulhendi
170423,Robson Bambu
170420,Youcef Atal
170399,Alexis Claude-Maurice
167416,Marcin Bulka
166770,Ayodeji Sotona
418,Manuel Cabit
469,Sikou Niakaté
574,Amine Bassi
724,Fabien Centonze
854,Sofiane Alakouch
935,Thomas Delaine
3595,Dylan Bronn
8521,Nicolas de Préville
8537,Vincent Pajot
8661,Marc-Aurèle Caillard
8717,Matthieu Udol
8739,Farid Boulaya
8740,Opa Nguette
8742,Ibrahima Niane
8752,Kévin N'Doram
8753,Jemerson
8769,Alexandre Oukidja
42994,David Oberhauser
49206,Habib Maïga
74681,Warren Tchimbembé
99586,Cheikh Tidiane Sabaly
106726,Lenny Joseph
108987,Lamine Gueye
133553,Boubacar Traoré
133786,Papa Ndiaga Yade
137323,Lenny Lacroix
160442,William Mikelbrencis
165062,Ousmane Ba
170408,Kiki Kouyaté
170391,Pape Sarr
